channels,n_back,max_iter,post_optimize,n_obs,time_mean,time_std,time_min,time_max,n_repeats
1,4,20,True,1000,0.3072787069994956,0.0030538915767088,0.303034300042782,0.3218637999962084,100
1,5,1,True,1000,0.014971463001566,0.0002336648278447,0.0146955999662168,0.0161286999937146,100
1,5,5,True,1000,0.1040449139964766,0.0015158714790626,0.1013495000079274,0.109649599995464,100
1,5,10,True,1000,0.2178503280039876,0.0035664733030807,0.2125434000045061,0.2283229000167921,100
1,5,15,True,1000,0.3247530460002599,0.0040798531873841,0.3206421000068076,0.3376208000117913,100
1,5,20,True,1000,0.4317230139963794,0.0059438226283937,0.4234400999848731,0.4493368999683298,100
2,2,1,True,1000,0.0103532109997468,0.0003434943819277,0.0100534999510273,0.0123332999646663,100
2,2,5,True,1000,0.0499646870006108,0.0016340374779294,0.0483512000064365,0.0585268000140786,100
2,2,10,True,1000,0.0970409680000739,0.0016505023824293,0.0955415000207722,0.1021055000019259,100
2,2,15,True,1000,0.1448287270002765,0.002161890292751,0.1433186000213027,0.1528111000079661,100
2,2,20,True,1000,0.1938402790005784,0.0031746091909392,0.1910568000166677,0.2035416000289842,100
2,3,1,True,1000,0.0137991800031159,0.000451287390233,0.0131562000024132,0.0150693000177852,100
2,3,5,True,1000,0.0781709849991602,0.0006212731978582,0.076961500046309,0.0797714000218547,100
2,3,10,True,1000,0.1615807920024963,0.0028972588446492,0.1580524999881163,0.1697521000169217,100
2,3,15,True,1000,0.2413987390027614,0.0028014596562305,0.2384189000003971,0.2522446000366471,100
2,3,20,True,1000,0.3250647350004874,0.0041257454212055,0.3197788000106811,0.3386750999488868,100
2,4,1,True,1000,0.0214359610021347,0.0003271534202093,0.0208268000278621,0.0221962999785318,100
2,4,5,True,1000,0.1162391359970206,0.0014404699405191,0.1137346999603323,0.1210998999886214,100
2,4,10,True,1000,0.2301552399998763,0.0029460710439113,0.2268899999908171,0.2398914000368677,100
2,4,15,True,1000,0.3353733550023753,0.0053056221253279,0.3315423000021837,0.3519551000208594,100
2,4,20,True,1000,0.4427317120012594,0.0061665054827558,0.4384771999903023,0.4662076999666169,100
2,5,1,True,1000,0.0241902130027301,0.0003004102599508,0.0237527000135742,0.0253081999835558,100
2,5,5,True,1000,0.1434612409968395,0.0021331416654024,0.1416552000446245,0.1509942999691702,100
2,5,10,True,1000,0.2980590189987561,0.0048499480206773,0.2922958999988623,0.309540799993556,100
2,5,15,True,1000,0.4453085989999817,0.0065401868772484,0.4392172999796457,0.4637197999982163,100
2,5,20,True,1000,0.5907521859975532,0.0096708412688413,0.5846563000231981,0.625655599986203,100
3,2,1,True,1000,0.0117669940029736,0.0002190651972566,0.0114892999990843,0.0127875000471249,100
3,2,5,True,1000,0.0739844649966107,0.0007619208971905,0.0724547000136226,0.0771672000410035,100
3,2,10,True,1000,0.1513974999991478,0.0023898870618377,0.1486206999979913,0.1587212000158615,100
3,2,15,True,1000,0.2290420780004933,0.0037751174230915,0.2252210000297054,0.2402052999823354,100
