"","Wavelength..nm.","Intensity","X","Y"
"2510",483.401849948613,2622.50453720508,483.401849948613,2622.50453720508
"2505",483.65878725591,2577.13248638838,483.65878725591,2577.13248638838
"2501",483.915724563207,2540.83484573503,483.915724563207,2540.83484573503
"2498",484.172661870504,2513.61161524501,484.172661870504,2513.61161524501
"2496",484.429599177801,2495.46279491833,484.429599177801,2495.46279491833
"2494",484.686536485098,2477.31397459165,484.686536485098,2477.31397459165
"2493",484.943473792395,2468.23956442831,484.943473792395,2468.23956442831
"2492",485.200411099692,2459.16515426497,485.200411099692,2459.16515426497
"2491",485.457348406989,2450.09074410163,485.457348406989,2450.09074410163
"2490",485.714285714286,2441.01633393829,485.714285714286,2441.01633393829
"2489",485.971223021583,2441.01633393829,485.971223021583,2441.01633393829
"2488",486.22816032888,2441.01633393829,486.22816032888,2441.01633393829
"2487",486.485097636177,2441.01633393829,486.485097636177,2441.01633393829
"2486",486.742034943474,2441.01633393829,486.742034943474,2441.01633393829
"2485",486.998972250771,2450.09074410163,486.998972250771,2450.09074410163
"2484",487.255909558068,2459.16515426497,487.255909558068,2459.16515426497
"2482",487.512846865365,2477.31397459165,487.512846865365,2477.31397459165
"2480",487.769784172662,2495.46279491833,487.769784172662,2495.46279491833
"2477",488.026721479959,2522.68602540835,488.026721479959,2522.68602540835
"2475",488.283658787256,2540.83484573503,488.283658787256,2540.83484573503
"2471",488.540596094553,2577.13248638838,488.540596094553,2577.13248638838
"2469",488.79753340185,2595.28130671506,488.79753340185,2595.28130671506
"2465",489.054470709147,2631.57894736842,489.054470709147,2631.57894736842
"2458",489.311408016444,2695.0998185118,489.311408016444,2695.0998185118
"2454",489.568345323741,2731.39745916515,489.568345323741,2731.39745916515
"2450",489.825282631038,2767.69509981851,489.825282631038,2767.69509981851
"2444",490.082219938335,2822.14156079855,490.082219938335,2822.14156079855
"2439",490.339157245632,2867.51361161525,490.339157245632,2867.51361161525
"2435",490.596094552929,2903.8112522686,490.596094552929,2903.8112522686
"2429",490.853031860226,2958.25771324864,490.853031860226,2958.25771324864
"2423",491.109969167523,3012.70417422868,491.109969167523,3012.70417422868
"2419",491.36690647482,3049.00181488203,491.36690647482,3049.00181488203
"2413",491.623843782117,3103.44827586207,491.623843782117,3103.44827586207
"2408",491.880781089414,3148.82032667877,491.880781089414,3148.82032667877
"2403",492.137718396711,3194.19237749546,492.137718396711,3194.19237749546
"2397",492.394655704008,3248.6388384755,492.394655704008,3248.6388384755
"2391",492.651593011305,3303.08529945554,492.651593011305,3303.08529945554
"2386",492.908530318602,3348.45735027223,492.908530318602,3348.45735027223
"2381",493.165467625899,3393.82940108893,493.165467625899,3393.82940108893
"2374",493.422404933196,3457.35027223231,493.422404933196,3457.35027223231
"2370",493.679342240493,3493.64791288566,493.679342240493,3493.64791288566
"2365",493.93627954779,3539.01996370236,493.93627954779,3539.01996370236
"2356",494.193216855087,3620.68965517241,494.193216855087,3620.68965517241
"2352",494.450154162384,3656.98729582577,494.450154162384,3656.98729582577
"2348",494.707091469681,3693.28493647913,494.707091469681,3693.28493647913
"2341",494.964028776978,3756.8058076225,494.964028776978,3756.8058076225
"2336",495.220966084275,3802.1778584392,495.220966084275,3802.1778584392
"2331",495.477903391572,3847.5499092559,495.477903391572,3847.5499092559
"2324",495.734840698869,3911.07078039927,495.734840698869,3911.07078039927
"2320",495.991778006166,3947.36842105263,495.991778006166,3947.36842105263
"2316",496.248715313463,3983.66606170599,496.248715313463,3983.66606170599
"2309",496.505652620761,4047.18693284936,496.505652620761,4047.18693284936
"2305",496.762589928058,4083.48457350272,496.762589928058,4083.48457350272
"2300",497.019527235355,4128.85662431942,497.019527235355,4128.85662431942
"2295",497.276464542652,4174.22867513612,497.276464542652,4174.22867513612
"2290",497.533401849949,4219.60072595281,497.533401849949,4219.60072595281
"2287",497.790339157246,4246.82395644283,497.790339157246,4246.82395644283
"2283",498.047276464543,4283.12159709619,498.047276464543,4283.12159709619
"2279",498.30421377184,4319.41923774955,498.30421377184,4319.41923774955
"2275",498.561151079137,4355.7168784029,498.561151079137,4355.7168784029
"2271",498.818088386434,4392.01451905626,498.818088386434,4392.01451905626
"2267",499.075025693731,4428.31215970962,499.075025693731,4428.31215970962
"2265",499.331963001028,4446.4609800363,499.331963001028,4446.4609800363
"2262",499.588900308325,4473.68421052632,499.588900308325,4473.68421052632
"2259",499.845837615622,4500.90744101633,499.845837615622,4500.90744101633
"2257",500.102774922919,4519.05626134301,500.102774922919,4519.05626134301
"2255",500.359712230216,4537.20508166969,500.359712230216,4537.20508166969
"2254",500.616649537513,4546.27949183303,500.616649537513,4546.27949183303
"2253",500.87358684481,4555.35390199637,500.87358684481,4555.35390199637
"2252",501.130524152107,4555.35390199637,501.130524152107,4555.35390199637
"2251",501.387461459404,4555.35390199637,501.387461459404,4555.35390199637
"2250",501.644398766701,4555.35390199637,501.644398766701,4555.35390199637
"2248",501.901336073998,4537.20508166969,501.901336073998,4537.20508166969
"2246",502.158273381295,4519.05626134301,502.158273381295,4519.05626134301
"2244",502.415210688592,4500.90744101633,502.415210688592,4500.90744101633
"2241",502.672147995889,4473.68421052632,502.672147995889,4473.68421052632
"2238",502.929085303186,4446.4609800363,502.929085303186,4446.4609800363
"2236",503.186022610483,4428.31215970962,503.186022610483,4428.31215970962
"2232",503.44295991778,4392.01451905626,503.44295991778,4392.01451905626
"2228",503.699897225077,4355.7168784029,503.699897225077,4355.7168784029
"2225",503.956834532374,4328.49364791289,503.956834532374,4328.49364791289
"2221",504.213771839671,4292.19600725953,504.213771839671,4292.19600725953
"2216",504.470709146968,4246.82395644283,504.470709146968,4246.82395644283
"2213",504.727646454265,4219.60072595281,504.727646454265,4219.60072595281
"2210",504.984583761562,4192.3774954628,504.984583761562,4192.3774954628
"2205",505.241521068859,4147.0054446461,505.241521068859,4147.0054446461
"2202",505.498458376156,4119.78221415608,505.498458376156,4119.78221415608
"2199",505.755395683453,4092.55898366606,505.755395683453,4092.55898366606
"2194",506.01233299075,4047.18693284936,506.01233299075,4047.18693284936
"2191",506.269270298047,4019.96370235935,506.269270298047,4019.96370235935
"2187",506.526207605344,3983.66606170599,506.526207605344,3983.66606170599
"2183",506.783144912641,3947.36842105263,506.783144912641,3947.36842105263
"2181",507.040082219938,3929.21960072595,507.040082219938,3929.21960072595
"2178",507.297019527235,3901.99637023593,507.297019527235,3901.99637023593
"2174",507.553956834532,3865.69872958258,507.553956834532,3865.69872958258
"2171",507.810894141829,3838.47549909256,507.810894141829,3838.47549909256
"2169",508.067831449126,3820.32667876588,508.067831449126,3820.32667876588
"2166",508.324768756423,3793.10344827586,508.324768756423,3793.10344827586
"2163",508.58170606372,3765.88021778584,508.58170606372,3765.88021778584
"2161",508.838643371017,3747.73139745917,508.838643371017,3747.73139745917
"2159",509.095580678314,3729.58257713249,509.095580678314,3729.58257713249
"2158",509.352517985611,3720.50816696915,509.352517985611,3720.50816696915
"2157",509.609455292909,3711.43375680581,509.609455292909,3711.43375680581
"2156",509.866392600206,3702.35934664247,509.866392600206,3702.35934664247
"2155",510.123329907503,3693.28493647913,510.123329907503,3693.28493647913
"2154",510.3802672148,3684.21052631579,510.3802672148,3684.21052631579
"2153",510.637204522097,3675.13611615245,510.637204522097,3675.13611615245
"2152",510.894141829394,3666.06170598911,510.894141829394,3666.06170598911
"2151",511.151079136691,3656.98729582577,511.151079136691,3656.98729582577
"2150",511.408016443988,3656.98729582577,511.408016443988,3656.98729582577
"2149",511.664953751285,3647.91288566243,511.664953751285,3647.91288566243
"2148",511.921891058582,3647.91288566243,511.921891058582,3647.91288566243
"2147",512.178828365879,3647.91288566243,512.178828365879,3647.91288566243
"2146",512.435765673176,3647.91288566243,512.435765673176,3647.91288566243
"2145",512.692702980473,3647.91288566243,512.692702980473,3647.91288566243
"2144",512.94964028777,3656.98729582577,512.94964028777,3656.98729582577
"2143",513.206577595067,3666.06170598911,513.206577595067,3666.06170598911
"2142",513.463514902364,3666.06170598911,513.463514902364,3666.06170598911
"2141",513.720452209661,3675.13611615245,513.720452209661,3675.13611615245
"2140",513.977389516958,3684.21052631579,513.977389516958,3684.21052631579
"2139",514.234326824255,3693.28493647913,514.234326824255,3693.28493647913
"2137",514.491264131552,3711.43375680581,514.491264131552,3711.43375680581
"2136",514.748201438849,3720.50816696915,514.748201438849,3720.50816696915
"2135",515.005138746146,3729.58257713249,515.005138746146,3729.58257713249
"2133",515.262076053443,3747.73139745917,515.262076053443,3747.73139745917
"2132",515.51901336074,3756.8058076225,515.51901336074,3756.8058076225
"2130",515.775950668037,3774.95462794918,515.775950668037,3774.95462794918
"2128",516.032887975334,3793.10344827586,516.032887975334,3793.10344827586
"2127",516.289825282631,3802.1778584392,516.289825282631,3802.1778584392
"2124",516.546762589928,3829.40108892922,516.546762589928,3829.40108892922
"2122",516.803699897225,3847.5499092559,516.803699897225,3847.5499092559
"2120",517.060637204522,3865.69872958258,517.060637204522,3865.69872958258
"2118",517.317574511819,3883.84754990926,517.317574511819,3883.84754990926
"2116",517.574511819116,3901.99637023593,517.574511819116,3901.99637023593
"2114",517.831449126413,3920.14519056261,517.831449126413,3920.14519056261
"2112",518.08838643371,3938.29401088929,518.08838643371,3938.29401088929
"2109",518.345323741007,3965.51724137931,518.345323741007,3965.51724137931
"2107",518.602261048304,3983.66606170599,518.602261048304,3983.66606170599
"2104",518.859198355601,4010.88929219601,518.859198355601,4010.88929219601
"2102",519.116135662898,4029.03811252269,519.116135662898,4029.03811252269
"2100",519.373072970195,4047.18693284936,519.373072970195,4047.18693284936
"2098",519.630010277492,4065.33575317604,519.630010277492,4065.33575317604
"2096",519.886947584789,4083.48457350272,519.886947584789,4083.48457350272
"2094",520.143884892086,4101.6333938294,520.143884892086,4101.6333938294
"2092",520.400822199383,4119.78221415608,520.400822199383,4119.78221415608
"2090",520.65775950668,4137.93103448276,520.65775950668,4137.93103448276
"2088",520.914696813977,4156.07985480944,520.914696813977,4156.07985480944
"2086",521.171634121274,4174.22867513612,521.171634121274,4174.22867513612
"2084",521.428571428571,4192.3774954628,521.428571428571,4192.3774954628
"2082",521.685508735868,4210.52631578947,521.685508735868,4210.52631578947
"2081",521.942446043165,4219.60072595281,521.942446043165,4219.60072595281
"2079",522.199383350463,4237.74954627949,522.199383350463,4237.74954627949
"2078",522.45632065776,4246.82395644283,522.45632065776,4246.82395644283
"2076",522.713257965057,4264.97277676951,522.713257965057,4264.97277676951
"2075",522.970195272354,4274.04718693285,522.970195272354,4274.04718693285
"2074",523.227132579651,4283.12159709619,523.227132579651,4283.12159709619
"2073",523.484069886948,4283.12159709619,523.484069886948,4283.12159709619
"2072",523.741007194245,4292.19600725953,523.741007194245,4292.19600725953
"2071",523.997944501542,4292.19600725953,523.997944501542,4292.19600725953
"2070",524.254881808839,4301.27041742287,524.254881808839,4301.27041742287
"2069",524.511819116136,4301.27041742287,524.511819116136,4301.27041742287
"2068",524.768756423433,4310.34482758621,524.768756423433,4310.34482758621
"2067",525.02569373073,4310.34482758621,525.02569373073,4310.34482758621
"2066",525.282631038027,4310.34482758621,525.282631038027,4310.34482758621
"2065",525.539568345324,4301.27041742287,525.539568345324,4301.27041742287
"2064",525.796505652621,4301.27041742287,525.796505652621,4301.27041742287
"2063",526.053442959918,4292.19600725953,526.053442959918,4292.19600725953
"2062",526.310380267215,4292.19600725953,526.310380267215,4292.19600725953
"2061",526.567317574512,4283.12159709619,526.567317574512,4283.12159709619
"2060",526.824254881809,4274.04718693285,526.824254881809,4274.04718693285
"2059",527.081192189106,4274.04718693285,527.081192189106,4274.04718693285
"2058",527.338129496403,4264.97277676951,527.338129496403,4264.97277676951
"2057",527.5950668037,4255.89836660617,527.5950668037,4255.89836660617
"2056",527.852004110997,4246.82395644283,527.852004110997,4246.82395644283
"2054",528.108941418294,4228.67513611615,528.108941418294,4228.67513611615
"2053",528.365878725591,4219.60072595281,528.365878725591,4219.60072595281
"2052",528.622816032888,4210.52631578947,528.622816032888,4210.52631578947
"2050",528.879753340185,4192.3774954628,528.879753340185,4192.3774954628
"2049",529.136690647482,4183.30308529946,529.136690647482,4183.30308529946
"2047",529.393627954779,4165.15426497278,529.393627954779,4165.15426497278
"2046",529.650565262076,4156.07985480944,529.650565262076,4156.07985480944
"2044",529.907502569373,4137.93103448276,529.907502569373,4137.93103448276
"2043",530.16443987667,4128.85662431942,530.16443987667,4128.85662431942
